"switch","direction","distance","weight","switch_activation","test_num"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0","8.72250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0","31.396866096866106","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.01","35.54045584045585","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.02","41.10968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.03","39.14045584045585","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.04","93.62250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.04","41.52250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.05","41.927635327635336","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.06","43.14814814814816","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.07","44.07378917378918","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.08","44.67122507122508","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.09","45.22250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.1","45.41994301994303","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.1","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.11","46.845584045584054","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.12","48.9866096866097","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.13","48.62250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.14","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.15","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.16","50.355840455840465","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.17","51.16609686609687","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.18","52.00712250712252","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.19","52.92250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.2","53.63532763532764","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.2","53.90968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.21","54.68148148148149","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.22","56.863532763532774","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.23","93.62250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.23","56.16609686609687","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.24","56.47635327635329","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.25","62.11481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.26","93.62250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.27","57.91225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.28","57.96866096866098","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.28","58.43276353276354","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.29","58.955840455840466","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.3","58.827635327635335","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.31","58.95071225071226","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.32","59.06096866096867","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.33","59.12507122507123","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.34","59.24558404558405","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.34","59.44301994301995","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.35","59.445584045584056","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.36","59.46353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.37","59.817378917378925","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.38","93.62250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.39","59.64301994301995","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.39","59.59943019943021","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.4","59.394301994302005","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.41","59.4891737891738","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.42","59.44814814814816","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.42","59.45071225071226","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.43","59.350712250712256","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.44","59.350712250712256","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.45","59.26609686609687","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.46","59.09943019943021","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.47","59.07891737891739","0","1"
